index,ticket_id,created_date,customer,region,channel,subject,severity,time_to_resolve_hours,agent_touches,reopened,sev_weight,category
292,IDC-43253,2026-05-08T00:00:00.000Z,Foundry Gaming,US-NJ,Phone,Watchlist screening flagged the wrong person,S3 - Medium,26.3,5,No,2,Compliance Decision Friction
293,IDC-43290,2026-04-11T00:00:00.000Z,Foundry Gaming,US-NJ,Portal,"PO Box treated as invalid, several player complaints",S1 - Critical,4.9,7,No,4,User Verification Friction
294,IDC-42935,2026-07-16T00:00:00.000Z,Tidewater Casino,US-NJ,Portal,apiKey rejected when sent in the request body,S2 - High,12.3,8,No,3,Integration & Config
295,IDC-44317,2026-04-11T00:00:00.000Z,Selkirk Interactive,US-AZ,Phone,Player says they were verified twice and charged twice,S3 - Medium,35.5,4,No,2,User Verification Friction
296,IDC-44169,2026-03-20T00:00:00.000Z,Selkirk Interactive,US-AZ,Portal,Too many users routed to step-up this week,S3 - Medium,16.2,3,No,2,User Verification Friction
297,IDC-44879,2026-07-28T00:00:00.000Z,Pinnacle Play,US-CO,Email,"OTP channel timeout error, must be integer 15-900",S3 - Medium,39.7,3,No,2,User Verification Friction
298,IDC-44842,2026-04-05T00:00:00.000Z,Pinnacle Play,US-CO,Slack Connect,Question about the data retention period,S3 - Medium,33.8,3,No,2,Account Admin
299,IDC-43860,2026-05-22T00:00:00.000Z,Marigold Gaming,US-MI,Phone,Please adjust our scheduled report frequency,S3 - Medium,28.3,3,No,2,Account Admin
300,IDC-43568,2026-03-26T00:00:00.000Z,Cobalt Sportsbook,US-PA,Slack Connect,"Review decision pending for 48h+, players waiting",S3 - Medium,26.4,3,No,2,Operational Backlog Friction
301,IDC-42924,2026-07-17T00:00:00.000Z,Tidewater Casino,US-NJ,Portal,SSN last-4 not matching for valid users,S3 - Medium,40.7,6,No,2,User Verification Friction
302,IDC-43819,2026-07-01T00:00:00.000Z,Cobalt Sportsbook,US-PA,Email,"Image capture loops, QR code keeps reloading on handoff",S4 - Low,21.2,3,Yes,1,User Verification Friction
303,IDC-44609,2026-03-16T00:00:00.000Z,Ashgrove Bet,UK,Portal,Inaccurate PEP alert on an obviously low-risk player,S3 - Medium,15.4,4,No,2,Compliance Decision Friction
304,IDC-42855,2026-03-04T00:00:00.000Z,Rivet Play,CA-ON,Portal,Token creation request returning 401,S4 - Low,37.7,3,No,1,Integration & Config
305,IDC-42010,2026-04-18T00:00:00.000Z,Rivet Play,CA-ON,Slack Connect,Date of birth validation rejecting valid 1999 dates,S3 - Medium,29.1,4,No,2,User Verification Friction
306,IDC-43726,2026-04-28T00:00:00.000Z,Cobalt Sportsbook,US-PA,Slack Connect,Full 9-digit SSN check failing after config change,S3 - Medium,20.9,2,No,2,User Verification Friction
307,IDC-42770,2026-04-20T00:00:00.000Z,Rivet Play,CA-ON,Phone,"CfA failing, what does phone_not_baselined mean?",S3 - Medium,21.6,3,No,2,Platform Reliability Friction
308,IDC-42144,2026-06-19T00:00:00.000Z,Rivet Play,CA-ON,Email,"CfA failing, what does phone_not_baselined mean?",S2 - High,11.3,9,No,3,Platform Reliability Friction
309,IDC-42763,2026-06-06T00:00:00.000Z,Rivet Play,CA-ON,Email,Please adjust our scheduled report frequency,S4 - Low,33.7,1,No,1,Account Admin
310,IDC-42482,2026-04-29T00:00:00.000Z,Rivet Play,CA-ON,Portal,Date of birth validation rejecting valid 1999 dates,S4 - Low,39.7,2,No,1,User Verification Friction
311,IDC-42135,2026-03-27T00:00:00.000Z,Rivet Play,CA-ON,Portal,Player passed data check but failed secondary auth,S2 - High,21.2,8,No,3,User Verification Friction
312,IDC-44481,2026-04-03T00:00:00.000Z,Ashgrove Bet,UK,Email,Webhook signature verification failing in staging,S3 - Medium,25.1,3,No,2,Platform Reliability Friction
313,IDC-42805,2026-05-30T00:00:00.000Z,Rivet Play,CA-ON,Slack Connect,How do we clear stuck review cases?,S2 - High,6.8,6,No,3,Operational Backlog Friction
314,IDC-42129,2026-07-31T00:00:00.000Z,Rivet Play,CA-ON,Email,Invoice query forwarded from finance,S3 - Medium,12.7,5,No,2,Account Admin
315,IDC-44591,2026-04-23T00:00:00.000Z,Ashgrove Bet,UK,Email,ID capture screen freezes on mobile for several users,S2 - High,23.6,7,No,3,User Verification Friction
316,IDC-43537,2026-05-14T00:00:00.000Z,Foundry Gaming,US-NJ,Portal,Can we suppress PEP alerts for our US-only brand?,S2 - High,24.6,9,No,3,Compliance Decision Friction
317,IDC-44004,2026-05-18T00:00:00.000Z,Marigold Gaming,US-MI,Email,Front of licence rejected as invalid image,S4 - Low,16.7,3,Yes,1,User Verification Friction
318,IDC-44050,2026-05-17T00:00:00.000Z,Marigold Gaming,US-MI,Phone,Question about the data retention period,S3 - Medium,12,4,Yes,2,Account Admin
319,IDC-42975,2026-05-05T00:00:00.000Z,Tidewater Casino,US-NJ,Email,Requesting SOC 2 report for our compliance team,S4 - Low,42.1,3,No,1,Account Admin
320,IDC-44819,2026-04-30T00:00:00.000Z,Pinnacle Play,US-CO,Email,"OTP channel timeout error, must be integer 15-900",S3 - Medium,10.9,3,No,2,User Verification Friction
321,IDC-42288,2026-04-14T00:00:00.000Z,Rivet Play,CA-ON,Email,Invoice query forwarded from finance,S4 - Low,63.9,3,No,1,Account Admin
322,IDC-42828,2026-02-09T00:00:00.000Z,Rivet Play,CA-ON,Portal,IP allowlisting request for a new environment,S2 - High,10.8,8,No,3,Integration & Config
323,IDC-42069,2026-06-27T00:00:00.000Z,Rivet Play,CA-ON,Email,"Review decision pending for 48h+, players waiting",S1 - Critical,4,11,No,4,Operational Backlog Friction
324,IDC-42806,2026-06-09T00:00:00.000Z,Rivet Play,CA-ON,Portal,Callback not received after verification completes,S2 - High,26,6,No,3,Platform Reliability Friction
325,IDC-43486,2026-03-20T00:00:00.000Z,Foundry Gaming,US-NJ,Email,Can we suppress PEP alerts for our US-only brand?,S3 - Medium,39.3,5,No,2,Compliance Decision Friction
326,IDC-43372,2026-07-20T00:00:00.000Z,Foundry Gaming,US-NJ,Slack Connect,"CfA failing, what does phone_not_baselined mean?",S3 - Medium,27.7,6,No,2,Platform Reliability Friction
327,IDC-43147,2026-07-30T00:00:00.000Z,Tidewater Casino,US-NJ,Email,"CfA failing, what does phone_not_baselined mean?",S4 - Low,36.2,2,No,1,Platform Reliability Friction
328,IDC-44379,2026-04-07T00:00:00.000Z,Ashgrove Bet,UK,Email,"OTP channel timeout error, must be integer 15-900",S2 - High,14.7,7,No,3,User Verification Friction
329,IDC-43864,2026-06-03T00:00:00.000Z,Marigold Gaming,US-MI,Email,Too many users routed to step-up this week,S3 - Medium,16.8,5,No,2,User Verification Friction
330,IDC-42588,2026-04-03T00:00:00.000Z,Rivet Play,CA-ON,Slack Connect,Question about the data retention period,S4 - Low,55.9,2,No,1,Account Admin
331,IDC-42253,2026-02-18T00:00:00.000Z,Rivet Play,CA-ON,Portal,Question about the data retention period,S4 - Low,34.9,1,No,1,Account Admin
332,IDC-43656,2026-04-07T00:00:00.000Z,Cobalt Sportsbook,US-PA,Email,"Sudden spike in failed verifications, nothing changed our side",S3 - Medium,14.5,4,No,2,Platform Reliability Friction
333,IDC-44505,2026-07-31T00:00:00.000Z,Ashgrove Bet,UK,Email,"Pass rate dropped sharply this week, is a data provider down?",S2 - High,24.5,5,No,3,Platform Reliability Friction
334,IDC-43044,2026-03-26T00:00:00.000Z,Tidewater Casino,US-NJ,Phone,Invoice query forwarded from finance,S4 - Low,35.6,3,No,1,Account Admin
335,IDC-43904,2026-07-26T00:00:00.000Z,Marigold Gaming,US-MI,Portal,"Sanctions hit looks like a false positive, please review",S2 - High,21.5,5,No,3,Compliance Decision Friction
336,IDC-44326,2026-04-05T00:00:00.000Z,Selkirk Interactive,US-AZ,Slack Connect,Can the check flag an underage applicant?,S3 - Medium,41.5,3,No,2,Compliance Decision Friction
337,IDC-42902,2026-04-11T00:00:00.000Z,Tidewater Casino,US-NJ,Slack Connect,Callback not received after verification completes,S3 - Medium,38.2,4,No,2,Platform Reliability Friction
338,IDC-42889,2026-05-08T00:00:00.000Z,Tidewater Casino,US-NJ,Slack Connect,"Onboarding new market, what config changes are needed?",S4 - Low,25.7,3,No,1,Integration & Config
339,IDC-43303,2026-05-08T00:00:00.000Z,Foundry Gaming,US-NJ,Slack Connect,"Sanctions hit looks like a false positive, please review",S2 - High,13.7,8,No,3,Compliance Decision Friction
340,IDC-44130,2026-06-06T00:00:00.000Z,Selkirk Interactive,US-AZ,Phone,"OTP channel timeout error, must be integer 15-900",S4 - Low,66.8,3,No,1,User Verification Friction
341,IDC-42788,2026-04-26T00:00:00.000Z,Rivet Play,CA-ON,Slack Connect,Token creation request returning 401,S3 - Medium,14.7,5,No,2,Integration & Config
342,IDC-43636,2026-04-30T00:00:00.000Z,Cobalt Sportsbook,US-PA,Portal,How do we clear stuck review cases?,S3 - Medium,11.2,6,No,2,Operational Backlog Friction
343,IDC-43852,2026-04-14T00:00:00.000Z,Marigold Gaming,US-MI,Email,Verification failing with provider timeout (504),S2 - High,13.6,9,No,3,Platform Reliability Friction
344,IDC-42152,2026-02-23T00:00:00.000Z,Rivet Play,CA-ON,Email,ID capture screen freezes on mobile for several users,S3 - Medium,36.5,6,No,2,User Verification Friction
345,IDC-43474,2026-06-11T00:00:00.000Z,Foundry Gaming,US-NJ,Email,"CfA failing, what does phone_not_baselined mean?",S3 - Medium,22.2,2,No,2,Platform Reliability Friction
346,IDC-43631,2026-02-09T00:00:00.000Z,Cobalt Sportsbook,US-PA,Email,"OTP channel timeout error, must be integer 15-900",S3 - Medium,30.7,5,No,2,User Verification Friction
347,IDC-42116,2026-04-02T00:00:00.000Z,Rivet Play,CA-ON,Email,Date of birth validation rejecting valid 1999 dates,S2 - High,26,7,No,3,User Verification Friction
348,IDC-43564,2026-07-15T00:00:00.000Z,Cobalt Sportsbook,US-PA,Slack Connect,Watchlist screening flagged the wrong person,S2 - High,19.7,5,No,3,Compliance Decision Friction
349,IDC-42338,2026-02-06T00:00:00.000Z,Rivet Play,CA-ON,Slack Connect,ID capture screen freezes on mobile for several users,S4 - Low,52.9,1,No,1,User Verification Friction
350,IDC-42870,2026-08-01T00:00:00.000Z,Rivet Play,CA-ON,Slack Connect,ID capture screen freezes on mobile for several users,S3 - Medium,40.8,2,Yes,2,User Verification Friction
351,IDC-44251,2026-02-09T00:00:00.000Z,Selkirk Interactive,US-AZ,Phone,Duplicate verification sessions created for one user,S3 - Medium,42.6,2,No,2,User Verification Friction
352,IDC-44746,2026-03-04T00:00:00.000Z,Pinnacle Play,US-CO,Slack Connect,Full 9-digit SSN check failing after config change,S3 - Medium,30,3,No,2,User Verification Friction
353,IDC-43535,2026-03-07T00:00:00.000Z,Foundry Gaming,US-NJ,Slack Connect,Too many users routed to step-up this week,S2 - High,6,9,No,3,User Verification Friction
354,IDC-42140,2026-03-18T00:00:00.000Z,Rivet Play,CA-ON,Phone,Can the check flag an underage applicant?,S3 - Medium,42.2,4,No,2,Compliance Decision Friction
355,IDC-42430,2026-03-02T00:00:00.000Z,Rivet Play,CA-ON,Email,Full 9-digit SSN check failing after config change,S2 - High,23.8,8,No,3,User Verification Friction
356,IDC-43083,2026-07-16T00:00:00.000Z,Tidewater Casino,US-NJ,Portal,Request: export of last month's verification volumes,S4 - Low,18.8,2,No,1,Account Admin
357,IDC-44043,2026-05-01T00:00:00.000Z,Marigold Gaming,US-MI,Email,Player says they were verified twice and charged twice,S3 - Medium,24.4,3,No,2,User Verification Friction
358,IDC-42025,2026-05-24T00:00:00.000Z,Rivet Play,CA-ON,Email,Requesting SOC 2 report for our compliance team,S4 - Low,18.3,2,No,1,Account Admin
359,IDC-43019,2026-03-28T00:00:00.000Z,Tidewater Casino,US-NJ,Slack Connect,Player passed data check but failed secondary auth,S4 - Low,14.5,2,No,1,User Verification Friction
360,IDC-43505,2026-05-07T00:00:00.000Z,Foundry Gaming,US-NJ,Portal,Too many users routed to step-up this week,S3 - Medium,26.6,2,No,2,User Verification Friction
361,IDC-43646,2026-06-09T00:00:00.000Z,Cobalt Sportsbook,US-PA,Slack Connect,Can the check flag an underage applicant?,S3 - Medium,19.9,2,No,2,Compliance Decision Friction
362,IDC-43892,2026-04-07T00:00:00.000Z,Marigold Gaming,US-MI,Slack Connect,Date of birth validation rejecting valid 1999 dates,S4 - Low,58.3,1,No,1,User Verification Friction
363,IDC-44199,2026-02-20T00:00:00.000Z,Selkirk Interactive,US-AZ,Email,Webhook signature verification failing in staging,S2 - High,24.4,4,Yes,3,Platform Reliability Friction
364,IDC-42131,2026-05-22T00:00:00.000Z,Rivet Play,CA-ON,Portal,Upload succeeds but result says image invalid,S3 - Medium,22.8,2,No,2,User Verification Friction
365,IDC-44895,2026-07-16T00:00:00.000Z,Pinnacle Play,US-CO,Phone,Inaccurate PEP alert on an obviously low-risk player,S2 - High,12.7,9,No,3,Compliance Decision Friction
366,IDC-42702,2026-02-02T00:00:00.000Z,Rivet Play,CA-ON,Slack Connect,Player says they were verified twice and charged twice,S3 - Medium,29.7,2,No,2,User Verification Friction
367,IDC-44646,2026-06-18T00:00:00.000Z,Ashgrove Bet,UK,Email,SSN last-4 not matching for valid users,S2 - High,19.6,5,No,3,User Verification Friction
368,IDC-44434,2026-03-19T00:00:00.000Z,Ashgrove Bet,UK,Email,Callback not received after verification completes,S2 - High,12.6,9,No,3,Platform Reliability Friction
369,IDC-43553,2026-05-26T00:00:00.000Z,Foundry Gaming,US-NJ,Slack Connect,Can we suppress PEP alerts for our US-only brand?,S2 - High,16.3,5,No,3,Compliance Decision Friction
370,IDC-42321,2026-02-22T00:00:00.000Z,Rivet Play,CA-ON,Portal,Front of licence rejected as invalid image,S3 - Medium,19.2,3,No,2,User Verification Friction
371,IDC-43937,2026-02-16T00:00:00.000Z,Marigold Gaming,US-MI,Email,"Onboarding new market, what config changes are needed?",S3 - Medium,22.7,2,No,2,Integration & Config
372,IDC-44073,2026-07-23T00:00:00.000Z,Marigold Gaming,US-MI,Email,Date of birth validation rejecting valid 1999 dates,S3 - Medium,39.3,5,No,2,User Verification Friction
373,IDC-44332,2026-07-20T00:00:00.000Z,Selkirk Interactive,US-AZ,Portal,"Sanctions hit looks like a false positive, please review",S1 - Critical,10.8,9,No,4,Compliance Decision Friction
374,IDC-43388,2026-04-02T00:00:00.000Z,Foundry Gaming,US-NJ,Portal,Can we suppress PEP alerts for our US-only brand?,S2 - High,24.2,8,No,3,Compliance Decision Friction
375,IDC-43681,2026-02-25T00:00:00.000Z,Cobalt Sportsbook,US-PA,Slack Connect,Watchlist screening flagged the wrong person,S3 - Medium,42.9,2,No,2,Compliance Decision Friction
376,IDC-42470,2026-02-24T00:00:00.000Z,Rivet Play,CA-ON,Email,Request: export of last month's verification volumes,S4 - Low,63.7,3,No,1,Account Admin
377,IDC-42359,2026-02-15T00:00:00.000Z,Rivet Play,CA-ON,Email,Partial match returns no data on first attempt,S3 - Medium,10.2,4,No,2,User Verification Friction
378,IDC-44407,2026-07-02T00:00:00.000Z,Ashgrove Bet,UK,Phone,Duplicate verification sessions created for one user,S3 - Medium,21.9,3,No,2,User Verification Friction
379,IDC-44208,2026-07-17T00:00:00.000Z,Selkirk Interactive,US-AZ,Slack Connect,Webhook signature verification failing in staging,S3 - Medium,42.9,2,No,2,Platform Reliability Friction
380,IDC-43331,2026-04-02T00:00:00.000Z,Foundry Gaming,US-NJ,Slack Connect,Manual review queue backing up this week,S4 - Low,27.8,2,Yes,1,Operational Backlog Friction
381,IDC-44611,2026-02-16T00:00:00.000Z,Ashgrove Bet,UK,Slack Connect,Player says they were verified twice and charged twice,S3 - Medium,19.9,4,No,2,User Verification Friction
382,IDC-43650,2026-05-08T00:00:00.000Z,Cobalt Sportsbook,US-PA,Email,Can the check flag an underage applicant?,S3 - Medium,17,3,No,2,Compliance Decision Friction
383,IDC-43510,2026-05-11T00:00:00.000Z,Foundry Gaming,US-NJ,Email,"Base URL misconfigured, double https in the endpoint",S3 - Medium,40.4,4,No,2,Integration & Config
384,IDC-42900,2026-02-03T00:00:00.000Z,Tidewater Casino,US-NJ,Portal,"Pass rate dropped sharply this week, is a data provider down?",S1 - Critical,5.1,6,Yes,4,Platform Reliability Friction
385,IDC-44533,2026-06-24T00:00:00.000Z,Ashgrove Bet,UK,Portal,"Sudden spike in failed verifications, nothing changed our side",S3 - Medium,41.4,3,No,2,Platform Reliability Friction
386,IDC-44399,2026-03-20T00:00:00.000Z,Ashgrove Bet,UK,Slack Connect,Step-up auth triggering for returning players,S2 - High,17,8,No,3,User Verification Friction
387,IDC-43599,2026-02-03T00:00:00.000Z,Cobalt Sportsbook,US-PA,Email,Watchlist screening flagged the wrong person,S2 - High,9.1,7,No,3,Compliance Decision Friction
388,IDC-43017,2026-07-01T00:00:00.000Z,Tidewater Casino,US-NJ,Phone,"vendors.error on data check, backend did not respond in time",S1 - Critical,12.5,11,No,4,Platform Reliability Friction
389,IDC-42876,2026-07-31T00:00:00.000Z,Rivet Play,CA-ON,Email,IDPV outcome differs across document types,S2 - High,13,6,No,3,Compliance Decision Friction
390,IDC-44712,2026-04-04T00:00:00.000Z,Pinnacle Play,US-CO,Portal,"Pass rate dropped sharply this week, is a data provider down?",S3 - Medium,10.1,5,No,2,Platform Reliability Friction
391,IDC-44815,2026-03-27T00:00:00.000Z,Pinnacle Play,US-CO,Portal,Duplicate verification sessions created for one user,S2 - High,21.2,6,No,3,User Verification Friction
392,IDC-43232,2026-07-10T00:00:00.000Z,Foundry Gaming,US-NJ,Portal,Too many users routed to step-up this week,S4 - Low,59.2,2,No,1,User Verification Friction
393,IDC-42962,2026-05-02T00:00:00.000Z,Tidewater Casino,US-NJ,Portal,Inaccurate PEP alert on an obviously low-risk player,S2 - High,9.6,6,No,3,Compliance Decision Friction
394,IDC-43952,2026-03-30T00:00:00.000Z,Marigold Gaming,US-MI,Email,Date of birth validation rejecting valid 1999 dates,S1 - Critical,8.2,12,No,4,User Verification Friction
395,IDC-43975,2026-06-03T00:00:00.000Z,Marigold Gaming,US-MI,Email,How do we clear stuck review cases?,S3 - Medium,34.7,4,No,2,Operational Backlog Friction
396,IDC-44114,2026-07-28T00:00:00.000Z,Marigold Gaming,US-MI,Email,Zip code mismatch on addresses we believe are valid,S2 - High,22.2,5,No,3,User Verification Friction
397,IDC-43551,2026-06-03T00:00:00.000Z,Foundry Gaming,US-NJ,Email,Inaccurate PEP alert on an obviously low-risk player,S3 - Medium,43.1,6,No,2,Compliance Decision Friction
398,IDC-43215,2026-02-05T00:00:00.000Z,Tidewater Casino,US-NJ,Slack Connect,Player passed data check but failed secondary auth,S4 - Low,50,1,No,1,User Verification Friction
399,IDC-43595,2026-04-30T00:00:00.000Z,Cobalt Sportsbook,US-PA,Portal,Player passed data check but failed secondary auth,S3 - Medium,26.8,6,No,2,User Verification Friction
400,IDC-44371,2026-07-21T00:00:00.000Z,Selkirk Interactive,US-AZ,Email,ID capture screen freezes on mobile for several users,S2 - High,26,7,No,3,User Verification Friction
401,IDC-44468,2026-07-01T00:00:00.000Z,Ashgrove Bet,UK,Slack Connect,Player says they were verified twice and charged twice,S3 - Medium,26.2,6,No,2,User Verification Friction
402,IDC-42093,2026-07-19T00:00:00.000Z,Rivet Play,CA-ON,Portal,Please add our new brand to the account,S3 - Medium,9.2,5,No,2,Integration & Config
403,IDC-42896,2026-04-14T00:00:00.000Z,Tidewater Casino,US-NJ,Slack Connect,"Review decision pending for 48h+, players waiting",S3 - Medium,39.7,2,No,2,Operational Backlog Friction
404,IDC-42592,2026-04-13T00:00:00.000Z,Rivet Play,CA-ON,Email,Passport read failing for a batch of users,S2 - High,24.1,5,Yes,3,User Verification Friction
405,IDC-44562,2026-03-05T00:00:00.000Z,Ashgrove Bet,UK,Portal,Token creation request returning 401,S2 - High,6.7,8,No,3,Integration & Config
406,IDC-42082,2026-06-15T00:00:00.000Z,Rivet Play,CA-ON,Portal,Question about the data retention period,S3 - Medium,29.3,4,No,2,Account Admin
407,IDC-42827,2026-04-22T00:00:00.000Z,Rivet Play,CA-ON,Slack Connect,Requesting SOC 2 report for our compliance team,S3 - Medium,23.4,5,Yes,2,Account Admin
408,IDC-44632,2026-03-17T00:00:00.000Z,Ashgrove Bet,UK,Email,Token creation request returning 401,S2 - High,21.6,7,No,3,Integration & Config
409,IDC-42562,2026-03-13T00:00:00.000Z,Rivet Play,CA-ON,Slack Connect,Webhook signature verification failing in staging,S4 - Low,37.6,3,No,1,Platform Reliability Friction
410,IDC-44755,2026-02-07T00:00:00.000Z,Pinnacle Play,US-CO,Slack Connect,Set up user access for two new team members,S4 - Low,58.1,1,No,1,Integration & Config
411,IDC-44900,2026-04-23T00:00:00.000Z,Pinnacle Play,US-CO,Portal,Please adjust our scheduled report frequency,S4 - Low,40.1,2,No,1,Account Admin
412,IDC-44171,2026-04-10T00:00:00.000Z,Selkirk Interactive,US-AZ,Email,"Sanctions hit looks like a false positive, please review",S3 - Medium,38.2,3,No,2,Compliance Decision Friction
413,IDC-44674,2026-04-22T00:00:00.000Z,Pinnacle Play,US-CO,Email,Player passed data check but failed secondary auth,S2 - High,7.2,7,No,3,User Verification Friction
414,IDC-42345,2026-03-24T00:00:00.000Z,Rivet Play,CA-ON,Email,Duplicate verification sessions created for one user,S3 - Medium,37.9,2,No,2,User Verification Friction
415,IDC-44323,2026-02-05T00:00:00.000Z,Selkirk Interactive,US-AZ,Email,"Review decision pending for 48h+, players waiting",S2 - High,13.2,7,No,3,Operational Backlog Friction
416,IDC-43346,2026-07-07T00:00:00.000Z,Foundry Gaming,US-NJ,Email,Step-up auth triggering for returning players,S3 - Medium,43.3,3,No,2,User Verification Friction
417,IDC-42795,2026-04-11T00:00:00.000Z,Rivet Play,CA-ON,Portal,"Pass rate dropped sharply this week, is a data provider down?",S2 - High,5.5,8,No,3,Platform Reliability Friction
418,IDC-44026,2026-07-13T00:00:00.000Z,Marigold Gaming,US-MI,Slack Connect,IDPV outcome differs across document types,S2 - High,16.2,4,No,3,Compliance Decision Friction
419,IDC-42477,2026-03-08T00:00:00.000Z,Rivet Play,CA-ON,Email,Webhook signature verification failing in staging,S1 - Critical,3.7,7,No,4,Platform Reliability Friction
420,IDC-43908,2026-07-17T00:00:00.000Z,Marigold Gaming,US-MI,Email,"Review decision pending for 48h+, players waiting",S2 - High,9.1,9,No,3,Operational Backlog Friction
421,IDC-44403,2026-03-18T00:00:00.000Z,Ashgrove Bet,UK,Slack Connect,"Sudden spike in failed verifications, nothing changed our side",S1 - Critical,6.1,8,No,4,Platform Reliability Friction
422,IDC-44178,2026-04-08T00:00:00.000Z,Selkirk Interactive,US-AZ,Email,"Review decision pending for 48h+, players waiting",S3 - Medium,28.3,2,No,2,Operational Backlog Friction
423,IDC-43032,2026-03-14T00:00:00.000Z,Tidewater Casino,US-NJ,Phone,Question about the data retention period,S3 - Medium,24,3,No,2,Account Admin
424,IDC-44456,2026-03-20T00:00:00.000Z,Ashgrove Bet,UK,Slack Connect,apiKey rejected when sent in the request body,S3 - Medium,36,4,No,2,Integration & Config
425,IDC-44020,2026-05-01T00:00:00.000Z,Marigold Gaming,US-MI,Email,Player says they were verified twice and charged twice,S2 - High,18.5,6,No,3,User Verification Friction
426,IDC-43880,2026-07-18T00:00:00.000Z,Marigold Gaming,US-MI,Email,Invoice query forwarded from finance,S4 - Low,61.6,3,No,1,Account Admin
427,IDC-43828,2026-03-24T00:00:00.000Z,Cobalt Sportsbook,US-PA,Email,Watchlist screening flagged the wrong person,S2 - High,8.1,5,No,3,Compliance Decision Friction
428,IDC-43342,2026-05-22T00:00:00.000Z,Foundry Gaming,US-NJ,Phone,Date of birth validation rejecting valid 1999 dates,S4 - Low,19.8,2,No,1,User Verification Friction
429,IDC-42272,2026-03-26T00:00:00.000Z,Rivet Play,CA-ON,Portal,Upstream data check returning gateway errors since Monday,S2 - High,23.7,4,No,3,Platform Reliability Friction
430,IDC-44205,2026-02-04T00:00:00.000Z,Selkirk Interactive,US-AZ,Email,Can the check flag an underage applicant?,S3 - Medium,21.3,6,No,2,Compliance Decision Friction
431,IDC-42787,2026-04-06T00:00:00.000Z,Rivet Play,CA-ON,Email,SSN last-4 not matching for valid users,S1 - Critical,3,6,No,4,User Verification Friction
432,IDC-42493,2026-06-30T00:00:00.000Z,Rivet Play,CA-ON,Email,Passport read failing for a batch of users,S4 - Low,39.6,3,No,1,User Verification Friction
433,IDC-44515,2026-02-21T00:00:00.000Z,Ashgrove Bet,UK,Email,"Sanctions hit looks like a false positive, please review",S3 - Medium,39.6,5,No,2,Compliance Decision Friction
434,IDC-42618,2026-02-23T00:00:00.000Z,Rivet Play,CA-ON,Email,Set up user access for two new team members,S4 - Low,48.5,1,Yes,1,Integration & Config
435,IDC-44495,2026-07-04T00:00:00.000Z,Ashgrove Bet,UK,Slack Connect,Manual review queue backing up this week,S3 - Medium,28.8,6,No,2,Operational Backlog Friction
436,IDC-43711,2026-06-29T00:00:00.000Z,Cobalt Sportsbook,US-PA,Portal,"OTP channel timeout error, must be integer 15-900",S3 - Medium,15,3,No,2,User Verification Friction
437,IDC-43590,2026-03-19T00:00:00.000Z,Cobalt Sportsbook,US-PA,Email,Invoice query forwarded from finance,S4 - Low,38,3,No,1,Account Admin
438,IDC-43960,2026-07-28T00:00:00.000Z,Marigold Gaming,US-MI,Slack Connect,Can we suppress PEP alerts for our US-only brand?,S3 - Medium,39.5,5,No,2,Compliance Decision Friction
439,IDC-42807,2026-04-01T00:00:00.000Z,Rivet Play,CA-ON,Portal,Full 9-digit SSN check failing after config change,S3 - Medium,35.1,5,Yes,2,User Verification Friction
440,IDC-43181,2026-04-17T00:00:00.000Z,Tidewater Casino,US-NJ,Email,Date of birth validation rejecting valid 1999 dates,S3 - Medium,33.6,6,No,2,User Verification Friction
441,IDC-44181,2026-07-29T00:00:00.000Z,Selkirk Interactive,US-AZ,Email,Can the check flag an underage applicant?,S2 - High,21.9,5,No,3,Compliance Decision Friction
442,IDC-42450,2026-02-09T00:00:00.000Z,Rivet Play,CA-ON,Slack Connect,Manual review queue backing up this week,S3 - Medium,17.2,5,No,2,Operational Backlog Friction
443,IDC-44085,2026-02-19T00:00:00.000Z,Marigold Gaming,US-MI,Email,Partial match returns no data on first attempt,S3 - Medium,27.6,2,No,2,User Verification Friction
444,IDC-43713,2026-05-07T00:00:00.000Z,Cobalt Sportsbook,US-PA,Slack Connect,Date of birth validation rejecting valid 1999 dates,S4 - Low,34.7,3,No,1,User Verification Friction
445,IDC-42193,2026-03-19T00:00:00.000Z,Rivet Play,CA-ON,Slack Connect,Can we suppress PEP alerts for our US-only brand?,S3 - Medium,35.6,3,No,2,Compliance Decision Friction
446,IDC-43627,2026-02-08T00:00:00.000Z,Cobalt Sportsbook,US-PA,Slack Connect,"CfA failing, what does phone_not_baselined mean?",S4 - Low,27,3,No,1,Platform Reliability Friction
447,IDC-44330,2026-06-03T00:00:00.000Z,Selkirk Interactive,US-AZ,Portal,"Review decision pending for 48h+, players waiting",S4 - Low,52.4,3,No,1,Operational Backlog Friction
448,IDC-43069,2026-07-31T00:00:00.000Z,Tidewater Casino,US-NJ,Slack Connect,"CfA failing, what does phone_not_baselined mean?",S4 - Low,54.6,2,No,1,Platform Reliability Friction
449,IDC-42978,2026-07-17T00:00:00.000Z,Tidewater Casino,US-NJ,Email,"CfA failing, what does phone_not_baselined mean?",S3 - Medium,13.5,4,No,2,Platform Reliability Friction
450,IDC-43746,2026-02-14T00:00:00.000Z,Cobalt Sportsbook,US-PA,Email,Player says they were verified twice and charged twice,S3 - Medium,30.6,4,No,2,User Verification Friction
